Id,Title,Description,LikeCount,DislikeCount,ViewCount,FavoriteCount,CommentCount,PublishedAt,Channel Id,Channel Title,Tags,Thumbnail Default,ImageText,ContainsText
gXkUtmzdttw,"b'""Let\'s Be Honest "" EPISODE 9: Hitting on People At The Gym'","b""Let's Be Honest talk show: Our honest opinions about life, dating and relationships . \nTopic # 8: Should you hit on someone in the gym? \nComment, Subscribe or ask us questions. Thanks for watching ! \n\nSpecial thanks to: \n DeniseVlogs for shooting/gueststaring\nSubscribe to Denise!\nhttp://www.youtube.com/denisevlogs\nhttp://twitter.com/denisevlogs\nJeff Hunter for Co-Hosting http://facebook.com/dubrac3r\n\nFollow us:\nhttp://twitter.com/Chrisallocca\nhttp://twitter.com/#!/ErikaSchaefer_""",71,14,10723,0,23,2011-05-09T20:24:23.000Z,UCNi9BbF-G3UiiCJaDka7Baw,Christine Allocca,"['fitness', 'christineallocca', 'erikaschaefer', 'jeffhunter', 'denisevlogs', 'girls', 'guys', 'advice', 'discussion']",b'https://i.ytimg.com/vi/gXkUtmzdttw/default.jpg',"{u'regions': [], u'orientation': u'NotDetected', u'language': u'unk'}",False
ccPHc5oT9hE,b'Bodybuilding & Muskelaufbau \xe2\x96\xba Wie oft muss man trainieren f\xc3\xbcr Muskel Wachstum - KARL-ESS.COM',"b'\xe2\x96\xbc\xe2\x96\xbc\xe2\x96\xbc meine Empfehlungen f\xc3\xbcr euch \xe2\x96\xbc\xe2\x96\xbc\xe2\x96\xbc\n\nDas beste Trainingsprogramm f\xc3\xbcr Muskelaufbau: \n\xe2\x96\xba \n\nTrainierst du weniger als 2 Jahre, wirst du mit meinem Programm\nenorme Fortschritte beim Muskelaufbau und beim Fettabbau machen!\n\nTrainierst du schon \xc3\xbcber 2 Jahre im Fitness-Studio, bringt das\nfortgeschrittene Programm dich weiter \xe2\x96\xba http://ow.ly/uHHQp\n\n\xe2\x96\xba Beste Supplements f\xc3\xbcrs Training (100% pflanzlich): http://bit.ly/1w97UVA\n\xe2\x96\xba Qualitativ hochwertige Kleidung f\xc3\xbcr Bodybuilding- & Fitness-Athleten von GYM AESTETICS http://bit.ly/1Gq2uM3\n\n\xe2\x96\xba\xe2\x96\xbaDiese Produkte begleiten mich in meinem Fitness-Lifestyle\xe2\x97\x84\xe2\x97\x84\n\n\xe2\x96\xba Die Suchmaschine rund um Fitness: http://bit.ly/1AJAAJ5, vergleicht f\xc3\xbcr dich Produkte rund ums Fitness-Studio mit den besten Angeboten\n\xe2\x96\xba Trockenfr\xc3\xbcchte, Superfoods & nat\xc3\xbcrliche Lebensmittel : http://bit.ly/1LDmVIj\n\xe2\x96\xba W\xc3\xa4rme dich auf mit Voltgear Resistance Bands: http://bit.ly/1B9UAWV\n\xe2\x96\xba Der DOC Weingart Active Drink: http://bit.ly/1Gq2KKS\n mit dem Code ""KARL"" bekommst Du 10% Rabatt beim Einkauf\n\xe2\x96\xba Gymbags und mehr von SEBROSPORTS: http://bit.ly/1DlXqaL\n\xe2\x96\xba mehr zum Thema Schlafoptimierung: http://bit.ly/1vCW0IM\n\xe2\x96\xba Like Meat Schreddies: http://bit.ly/1zEiHbO, Fleischersatz f\xc3\xbcr die Vegane und Gesunde Ern\xc3\xa4hrung\n\n\xe2\x96\xba \n\n\xe2\x96\xba Hammer Fitness-Studio: http://fit-one.de/\n\nCheckt auch meine Social Media Kan\xc3\xa4le ab:\n\nInstagram: https://instagram.com/karl_ess/\nFacebook: http://fb.com/esskarl\nHomepage: http://www.karl-ess.com\n\n\xe2\x96\xba\xe2\x96\xba\xe2\x96\xba Abonniert meine Jungs \xe2\x97\x84\xe2\x97\x84\xe2\x97\x84\nRalf Saettele: http://bit.ly/1qwCmIV\nInscope21: http://bit.ly/1rHZExo\nBen Sattinger: http://bit.ly/1mBhyjn\nPhillip Zwoll: http://bit.ly/1qUbPlm\nErcan Demir: http://bit.ly/1ByyxLr\nTim Gabel: http://bit.ly/1j6A1nD\n\nMusik & Lizenz: http://www.karl-ess.com/musik\n\n\n\nBodybuilding & Muskelaufbau - Wie oft muss man trainieren?\n\n\nWer schnellen Muskelaufbau erreichen m\xc3\xb6chte, muss regelm\xc3\xa4\xc3\x9fig ein Bodybuilding Training durchf\xc3\xbchren. Aber wie oft muss man wirklich ins Training gehen? Wichtig f\xc3\xbcr den Muskelaufbau ist, dass jeder einzelne Muskel immer wieder bis zum Muskel Versagen trainiert wird - und das am besten ein bis zweimal pro Woche. F\xc3\xbcr das Bodybuilding Training ist weniger die L\xc3\xa4nge des Muskelaufbau Trainings entscheidend sondern vielmehr die Intensit\xc3\xa4t des Muskelaufbau Trainings. Wenn Du bei jedem Training im Fitness Studio wirklich bis zum Muskel Versagen trainierst, brauchen deine Muskeln auch entsprechend Zeit sich nach dem Bodybuilding Training zu erholen. Von daher ist meine Empfehlung f\xc3\xbcr Muskelaufbau und Bodybuilding ein 3er oder 4er Split Trainingsplan zu verfolgen und diesen innerhalb einer Woche abzuarbeiten. Bei einem 4er Split ist es auch so, dass der Muskel einmal aktiv und einmal passiv trainiert wird. Zum Beispiel wird der Bizeps beim Arme Training aktiv trainiert, w\xc3\xa4hrend der Bizeps Muskel beim R\xc3\xbcckentraining passiv trainiert wird.\n\nWeiter Tipps zum Muskelaufbau und Bodybuilding findest Du auf meinem Youtube-Kanal. Darum gleich den Kanal abonnieren und keinen Bodybuilding Tipp verpassen! Deine Fragen rund um Muskelaufbau und Bodybuilding kannst Du mir gerne auf Facebook posten http://www.facebook.com/esskarl\n\n... und vergiss nicht, meine neue Webseite unter http://www.KARL-ESS.com zu besuchen. Dort findest Du weitere Muskelaufbau Tipps und Tricks.\n\nKarl Ess (natural Bodybuilding Coach)'",123,5,10712,0,21,2012-09-19T19:54:18.000Z,UCtg17AAUcgsfmTZ7cOojgpA,Karl Ess,"['training', 'body', 'bodybuilding', 'muscle', 'gewichtheben', 'bodybuilder', 'motivation bodybuilding', 'bodybuilding motivation', 'muskelaufbau', 'muskeln', 'muskel', 'body transformation', 'pumpen', 'kurzhantel', 'hantel', 'muscles', 'trainingsplan', 'bodybuilding training', 'krafttraining', 'hanteltraining', 'muskeltraining', 'fitnesstraining', 'bodybuilding extrem', 'extrem bodybuilding', 'natural bodybuilding', 'workout', 'fitness', 'bizeps']",b'https://i.ytimg.com/vi/ccPHc5oT9hE/default.jpg',"{u'regions': [], u'orientation': u'NotDetected', u'language': u'unk'}",False
AJzBPZZB-uw,b'Will P90X3 Build Muscle? It Depends on these 3 Things!',"b'Will P90X3 build muscle? It depends on how you go through the program. See the full tips here: http://sweetlifefitness.net/will-p90x3-build-muscle/\n\nI hope you find value in the ""Will P90X3 Build Muscle"" video today. Be sure to subscribe, LIKE, and comment. If you are interested in getting results with P90X3, join us today - all program purchases come with FREE coaching and support from Coach Bob and Sweet Life Fitness: http://sweetlifefitness.net/fitness-programs/p90x3/\n\nFind Coach Bob on G+: https://plus.google.com/u/0/+BobSharpe/posts\n\n-~-~~-~~~-~~-~-\nPlease watch: ""Fitbit 30,000 Step Challenge - With an INSANE New Goal..."" \nhttps://www.youtube.com/watch?v=3FvN9M5tfVk\n-~-~~-~~~-~~-~-'",74,2,10710,0,35,2014-08-26T02:37:02.000Z,UCWAbnw-xB8x47xrfhtlDC9Q,Bob Sharpe,"['will p90x3 build muscle', 'does p90x3 build muscle', 'muscle building with p90x3', 'p90x3 mass', 'p90x3 mass schedule', 'p90x3', 'p90x3 tips', 'p90x3 support', 'p90x3 coach']",b'https://i.ytimg.com/vi/AJzBPZZB-uw/default.jpg',"{u'regions': [], u'orientation': u'NotDetected', u'language': u'unk'}",False
rB-XD5mriuM,b'Nutricion y Dietetica - Las Proteinas (Retomando el tema) Part 1 #beCPTV Programa 231',b'http://www.youtube.com/user/CUERPOSPERFECTOSTV?sub_confirmation=1\nS\xc3\xadguenos en: \nhttps://www.physicsports.com\nhttps://twitter.com/cuerposperfecTV\nhttps://www.facebook.com/CuerposPerfectosTV',224,6,10707,0,10,2014-12-19T17:30:05.000Z,UCd9hw3iDTk0o9Vs7qp1mHLA,Cuerpos Perfectos TV,"['Culturismo', 'Deporte', 'Musculo', 'Bodybuilding', 'Fitness', 'Training', 'Model', 'TV', 'Sexy', 'Movie', 'Fight', 'Lucha', 'Boxeo', 'Dietetica', 'Nutrition', 'Nutricion', 'Sports', 'Bikini', 'KO', 'Arnold', 'Risa', 'Divertido', 'Bromas', 'Reality']",b'https://i.ytimg.com/vi/rB-XD5mriuM/default.jpg',"{u'regions': [], u'orientation': u'NotDetected', u'language': u'unk'}",False
BL7JcJ5p7T4,b'Coreografia Sapao Original - Renata Black',"b'GALERA PRA CURTIR BASTA CLICAR NESSE LINK ABAIXO, OBRIGADUUU!!!\nhttps://www.facebook.com/photo.php?fbid=655177331175849&set=a.655177257842523.1073741839.158341564192764&type=1&theater'",86,1,10703,0,8,2013-05-15T03:05:14.000Z,UCXuMukJ0uvgnzqx1b-x3Eww,renata black,"['Nana', 'fest', '2013', 'renara', 'black', 'mc', 'sapao', 'original']",b'https://i.ytimg.com/vi/BL7JcJ5p7T4/default.jpg',"{u'regions': [], u'orientation': u'NotDetected', u'language': u'unk'}",False
hMypXDIKgec,b'2 days out posing',b'posing practice 2 days out from show.',33,2,10701,0,8,2008-06-12T19:25:15.000Z,UCw6_j7eyDDrv7Wutj00NdyQ,Sub11,"['bodybuilding', 'strength', 'fitness', 'weight', 'training']",b'https://i.ytimg.com/vi/hMypXDIKgec/default.jpg',"{u'regions': [], u'orientation': u'NotDetected', u'language': u'unk'}",False
5uocZRIIh68,b'Creatine one month update',"b""One month review on my creatine I've been taking.""",19,30,10694,0,9,2012-02-27T02:37:04.000Z,UCoXhCBOgygFuMutUkyVq3kA,younggunworkout,"['creatine', 'review', 'muscle', 'bodybuilding', 'musclepharm']",b'https://i.ytimg.com/vi/5uocZRIIh68/default.jpg',"{u'regions': [], u'orientation': u'NotDetected', u'language': u'unk'}",False
3y0Xkg-KNc4,b'70kg pull ups and OAP attempts One arm Pull-up at 98kg',b'http://bodyweightevolution.com\nPersonal training online - littlebeastmtraining@gmail.com \n\nMaster Handstand Program - http://littlebeastmblog.blogspot.sk/2013/06/littlebeastms-master-handstand-e-book.html\n\n15 Month Program - http://littlebeastmblog.blogspot.sk/2012/10/15-month-program.html\n\nGet a text for new vids - http://motube.us/littlebeastmtraining\nFacebook - https://www.facebook.com/little.beastm\n\nMusic - Lord vital - Anybody can get it',153,2,10689,0,48,2013-09-10T16:32:53.000Z,UCSDYQLX445NuzkB8_tyZwDA,Littlebeastmtraining,"['One arm Pull-up', 'One Arm Pull-up']",b'https://i.ytimg.com/vi/3y0Xkg-KNc4/default.jpg',"{u'regions': [], u'orientation': u'NotDetected', u'language': u'unk'}",False
7HSMm1aETPI,b'Aesthetic Natural Bodybuilding Motivation Video 2014',"b'Natural Bodybuilding motivation : http://peterpersonaltrainer.com you may enjoy this motivation video to get motivated itself. \n\nby ""Peter Personal Trainer""'",2455,4,10685,0,1,2014-10-06T15:48:42.000Z,UCTqvLva9vkaTmJGu8d8Jgbw,Welstar Peter,"['bodybuilding motivation', 'bodybuilding motivation video', 'bodybuilding motivation song', 'Bodybuilding (Sport)', 'Motivation (Quotation Subject)', 'Aesthetic Natural Bodybuilding Motivation']",b'https://i.ytimg.com/vi/7HSMm1aETPI/default.jpg',"{u'regions': [], u'orientation': u'NotDetected', u'language': u'unk'}",False
0FA2mQ2lGrw,b'Power Project: Box squat vs Free squat',b'See how Mark Bell used DH protocols to lose 50 pounds of fat - http://dh.tl/MarkBell\n\nWhy is my box squat stronger then my regular squat.',82,4,10677,0,4,2012-03-14T23:42:39.000Z,UCLPy6BEgH1fD3DOgwX-x_Hg,supertraining06,"['Mark', 'Bell', 'Power', 'Project', 'Check', 'Yourself', 'Before', 'You', 'Wreck']",b'https://i.ytimg.com/vi/0FA2mQ2lGrw/default.jpg',"{u'regions': [], u'orientation': u'NotDetected', u'language': u'unk'}",False
